veliplanchiste,"{véliplanchiste} n. m. et f.\nPersonne qui fait de la planche à voile."												
velléitaire,"adj. et n. m. et f.\nQui est sans volonté déterminée, qui ne passe pas à l'action. \nNote.- Attention à l'orthographe de ce mot qui conserve la même forme au masculin et au féminin : velléitaire."												
velléité,"n. f.\nRésolution faible, intention passagère qui n'est pas suivie d'un effet. Des velléités de collaboration qui n'aboutissent pas. \nNote.- Attention à l'orthographe : velléité."												
velo,"{vélo} n. m.\n(Fam.) Bicyclette. II aime bien faire du vélo. Des vélos de course. Aller à vélo, en vélo."												
velocité,"{vélocité} n. f.\n(Litt.) Grande vitesse."												
velodrome,"{vélodrome} n. m.\nPiste servant aux courses cyclistes. Le vélodrome du nouveau stade. \nNote.- Attention à l'orthographe : vélodrome."												
velours,"n. m.\nÉtoffe dont l'endroit est couvert de poils très serrés. Un beau velours de soie. Un pantalon de velours côtelé. \nNote.- Attention à l'orthographe : velours."												
velouté,", ée  adj. et n. m.\n Adjectif Qui a la douceur, l'apparence du velours. Une peau veloutée.\n Nom masculin \n- Qualité de ce qui est doux au toucher.\n- Potage onctueux. Un velouté d'asperges."												
velouteux,", euse  adj.\nQui a le toucher du velours."												
velu,", ue  adj.\nCouvert de poils. Une poitrine masculine velue."												
venaison,"n. f.\nChair de gibier (chevreuil, cerf, élan, etc.)."												
venal,"{vénal} , ale, aux  adj.\nQui se vend. L'amour vénal. Des politiciens vénaux."												
venalement,"{vénalement} adv.\nD'une manière vénale."												
venant,"n. m.\nÀ tout venant. À tout le monde, au premier venu. Ces textes ne sont pas accessibles à tout venant."												
vendable,"adj.\nQui peut être vendu. Ces produits sont tout à fait vendables."												
vendange,"n. f.\n Cueillette des raisins destinés à faire le vin.\n (Au plur.) Période à laquelle on fait les vendanges, en automne.\nNote.- Attention à l'orthographe : vendange."												
vendanger,"v. tr., intr.\n Le g est suivi d'un e devant les lettres a et o. II vendangea, nous vendangeons.\n Transitif. Récolter les raisins. Nous vendangeons la vigne du voisin également.\n Intransitif. Faire la vendange. Ils ont tardé à vendanger cette année.\nNote.- Attention à l'orthographe : vendanger."												
vendangeur,"n. m. \nvendangeuse n. f.\nPersonne chargée de la récolte des raisins servant à fabriquer le vin."												
vendéen,", enne  adj. et n. m. et f.\nDe la Vendée. \nNote.- Contrairement à l'adjectif, le nom prend une majuscule."												
vendetta,"n. f.\nVengeance exercée par toute une famille contre une autre, selon la tradition corse. Des vendettas implacables."												
vendeur,"n. m. \nvendeuse n. f.\nPersonne dont la fonction est de vendre, généralement dans un magasin. Elles ont engagé deux vendeuses."												
vendeur,", venderesse  n. m. et f.\n(Dr.) Personne qui vend un bien meuble ou immeuble. \nNote.- Dans la langue juridique, la forme féminine du nom est venderesse."												
vendre,"v. tr., pronom.\n Je vends, tu vends, il vend, nous vendons, vous vendez, ils vendent. Je vendais. Je vendis. Je vendrai. Je vendrais. Vends, vendons, vendez. Que je vende. Que je vendisse. Vendant. Vendu, ue.\n Transitif \n- Céder la propriété d'un bien pour un certain prix. II a vendu sa voiture.\n- Vendre la mèche. Révéler un secret.\n- Trahir. II a vendu ses complices.\n Pronominal Être offert sur le marché. Ces produits de luxe se vendent moins bien en ce moment."												
vendredi,"n. m.\nCinquième jour de la semaine. Elle passera vendredi. Le Vendredi saint. \nNote.- Les noms de jours s'écrivent avec une minuscule et prennent la marque du pluriel	 le nom de la fête chrétienne s'écrit avec une majuscule. Je viendrai tous les vendredis, mais je viendrai tous les jeudi et vendredi de chaque semaine. Attention à la construction de la dernière phrase où les noms de jours restent au singulier parce qu'il n'y a qu'un seul jeudi et un seul vendredi par semaine."											
vendu,", ue  adj. et n. m. et f.\n Cédé pour un certain prix. Ce tableau est vendu.\n Qui s'est laissé corrompre pour de l'argent. C'est un vendu."												
venelle,"n. f.\n(Litt.) Petit chemin."												
veneneux,"{vénéneux} , euse  adj.\nQui contient une substance toxique, en parlant des végétaux, des substances minérales. Des champignons vénéneux. \nNote.- Ne pas confondre avec le mot venimeux qui se dit de ce qui contient du venin, en parlant d'un animal."												
venerable,"{vénérable} adj.\nDigne de respect."												
veneration,"{vénération} n. f.\n Respect religieux.\n Admiration profonde."												
venerer,"{vénérer} v. tr.\n Le é se change en è devant une syllabe muette, sauf à l'indicatif futur et au conditionnel présent. Je vénére, mais je vénérerai.\n Avoir de la vénération pour les choses saintes.\n Témoigner un profond respect à quelqu'un."												
venerien,"{vénérien} , ienne  adj.\nMaladie vénérienne. Maladie sexuellement transmissible. \nNote.- Cette expression tend à être remplacée par M.S.T."												
venezuélien,"{vénézuélien} , ienne  adj. et n. m. et f.\nDu Venezuela. \nNote.- Contrairement à l'adjectif, le nom prend une majuscule. Le nom ou l'adjectif s'écrit avec des accents aigus alors que le nom du pays s'écrit sans accents."												
vengeance,"n. f.\n Désir de se venger. La vengeance est un plat qui se mange froid.\n Par vengeance. Dans l'intention de se venger.\nNote.- Attention à l'orthographe : vengeance."												
venger,"v. tr., pronom.\n Le g est suivi d'un e devant les lettres a et o. II vengea, nous vengeons.\n Transitif. Punir une offense en châtiant l'auteur. Venger une injure. Venger sa famille d'un affront.\nNote.- Le verbe a pour complément d'objet direct la chose dont on a eu à souffrir ou la personne qui en a souffert.\n Pronominal. Exercer des représailles, se faire justice. Ils se sont bien vengés de lui."												
vengeur,", vengeresse  adj. et n. m. et f.\n(Litt.) Personne qui venge, punit."												
veniel,"{véniel} , ielle  adj.\nSe dit d'une faute légère, excusable. Des péchés véniels."												
venimeux,", euse  adj.\nSe dit d'un animal qui peut injecter du venin. Un serpent venimeux. \nNotes.- \n1  Attention à l'orthographe : venimeux.\n2  Ne pas confondre avec le mot vénéneux qui se dit de ce qui contient une substance toxique, en parlant des végétaux."												
venin,"n. m.\nSubstance toxique sécrétée par certains animaux. Le venin de la vipère, du scorpion. \nNote.- Attention à l'orthographe : venin."												
venir,"v. intr.\nJe viens, tu viens, il vient, nous venons, vous venez, ils viennent. Je venais. Je vins. Je viendrai. Je viendrais. Viens, venons, venez. Que je vienne. Que je vinsse. Venant. Venu, ue. \n Se transporter d'un lieu à un autre. Elle viendra nous voir demain. Ils sont venus en avion.\nNote.- Le verbe venir comporte la notion d'un mouvement vers le lieu où l'on est, tandis que le verbe aller suppose qu'on part du lieu où l'on est pour se rendre ailleurs.\n Provenir. Ces belles pivoines viennent de la campagne. Le suffixe -logie vient du grec.\n Atteindre, parvenir. Cela ne m'était pas venu à l'esprit. Elle est venue à ses fins.\n Naître, être produit. Elle est venue au monde le 31 juillet 1976.\n Vienne, viennent. Placé en début de phrase, le verbe au subjonctif exprime un souhait dans un registre littéraire. Viennent les beaux jours et les vacances.\n Locutions \n- À venir, locution adjectivale. Futur. Les jours à venir. \nNote.- La locution s'écrit en deux mots.\n- En venir à. Aller jusqu'à, en arriver à. Ils en sont venus à se battre.\n- Faire venir. Prier quelqu'un de se rendre à l'endroit où l'on est, demander, commander quelque chose.\n- Laisser venir. Laisser approcher. Laissez venir à moi les petits enfants. (Parole du Christ).\n- Laisser venir. Attendre sans se presser. Nous devrions laisser venir les commentaires.\n- Venir à + infinitif. Cette construction marque une éventualité. Si je venais à disparaître.\n- Venir de. Cette construction exprime un passé très récent. Elle vient tout juste de partir.\n- Voir venir. Attendre, ne pas se presser. Elle aime voir venir les événements.\n- Voir venir. Deviner les intentions de quelqu'un. Je vous vois venir avec vos gros sabots."												
venitien,"{vénitien} , ienne  adj. et n. m. et f.\nDe Venise. \nNote.- Contrairement à l'adjectif, le nom prend une majuscule. \nV. store."												
vent,"n. m.\n Mouvement plus ou moins rapide d'une masse d'air qui se déplace suivant une direction déterminée. Le mistral, le noroît, le sirocco, le vent du nord, sont des vents. La rose des vents.\nNote.- Les noms de vents s'écrivent avec une minuscule ainsi que le nom du point cardinal.\n À tout vent. De tous les côtés. Je sème à tout vent.\n Avoir vent de quelque chose. Apprendre.\n Contre vent et marée, contre vents et marées. Malgré tous les obstacles.\n Dans le vent. À la dernière mode.\n En coup de vent. Brusquement, rapidement."												
vente,"n. f.\n Convention entre deux personnes par laquelle l'une (le vendeur) s'oblige à livrer une chose et l'autre (l'acquéreur) à la payer. Un contrat de vente.\n Action de vendre. La vente d'une voiture. La vente au détail, en gros.\n En vente. Se dit d'un bien destiné à être vendu. Cette maison est en vente. \nV. rabais."												
venter,"v. impers.\nSe dit du vent qui souffle. II vente énormément: il ne serait pas prudent de sortir en voilier. \nNote.- Attention à l'orthographe : venter. \nHom. vanter, louer, célébrer."												
venteux,", euse  adj.\nSe dit d'un lieu, d'une période où il y a beaucoup de vent. Ce cap est toujours venteux."												
ventilateur,"n. m.\n Appareil servant à renouveler l'air d'un lieu.\n Appareil assurant le refroidissement d'un moteur."												
ventilation,"n. f.\n Action de renouveler l'air d'un local.\n (Compt.) Action de répartir une somme entre plusieurs comptes. La ventilation des dépenses entre les divers services."												
ventiler,"v. tr.\n Aérer. Ventiler une chambre.\n (Compt.) Répartir une somme entre plusieurs comptes ou rubriques."												
ventouse,"n. f.\n Petite cloche de verre. II posait des ventouses aux malades pour atténuer la congestion.\n Organe de succion de certains animaux. Les ventouses d'une sangsue.\n Dispositif de caoutchouc qui se fixe par vide partiel sur une surface plane. Des fléchettes munies de ventouses."												
ventral,", ale, aux  adj.\nRelatif au ventre."												
ventre,"n. m.\n Abdomen.\n À plat ventre, locution adverbiale. Complètement allongé sur le ventre. Ils sont à plat ventre.\nNote.- Cette locution est invariable et s'écrit sans trait d'union.\n Ventre à terre, locution adverbiale. Très vite."												
ventricule,"n. m.\nChacune des deux cavités du coeur. Le ventricule gauche et le ventricule droit. \nNote.- Attention au genre masculin de ce nom : un ventricule."												
ventriloque,"adj. et n. m. et f.\nPersonne qui peut parler en conservant la bouche fermée."												
venu,", ue  adj. et n. m. et f.\n Adjectif \n- Être mal venu à, de + infinitif. Être peu qualifié pour. Elle est mal venue à, de le critiquer. \nNote.- L'expression s'écrit en deux mots.\n Nom masculin et féminin \n- Premier venu, première venue. N'importe qui. Ils ne sont pas les premiers venus.\n- Nouveau venu, nouvelle venue. Personne récemment arrivée. Elles sont de nouvelles venues.\n Nom féminin \n- Action de venir, arrivée. La venue du printemps.\n- Allées et venues. Déplacements. On surveille ses allées et venues."												
vepres,"{vêpres} n. f. pl.\nOffice religieux qui autrefois se célébrait à la fin de la journée. \nNote.- Attention à l'orthographe : vêpres."												
ver,"n. m.\nAnimal invertébré. Un ver de terre. \nNote.- Attention à l'orthographe : ver. \nHom.: \n- vair, fourrure d'écureuil	\n- verre, substance transparente	\n- verre, récipient pour boire	\n- vers, assemblage de mots dans un poème	\n- vert, couleur verte."								
veracité,"{véracité} n. f.\nQualité de ce qui est vrai, conforme à la vérité. La véracité d'un témoignage. \nNote.- L'adjectif correspondant est véridique."												
veranda,"{véranda} n. f.\nGalerie couverte. Des vérandas fleuries."												
verbal,", ale, aux  adj.\n Qui se fait de vive voix (par opposition à écrit). Des contrats purement verbaux.\n (Gramm.) Relatif au verbe. Des locutions verbales."												
verbalement,"adv.\nOralement."												
verbalisation,"n. f.\nAction de verbaliser. \nNote.- Ne pas confondre avec le mot verbiage qui désigne un bavardage inutile."												
verbaliser,"v. tr., intr.\n Transitif. (Psycho.) Extérioriser au moyen du langage. II n'arrive pas à verbaliser son ressentiment.\n Intransitif. Dresser un procès-verbal, donner une contravention. Votre voiture est en stationnement illégal	 je me vois dans l'obligation de verbaliser."											
verbe,"n. m.\n (Gramm.) Mot qui, dans une phrase, exprime une action, un état. Les désinences du verbe indiquent le mode, le temps, la personne de la conjugaison. \n (Litt.) Expression de la pensée par les mots. La magie du verbe.\n (Théol.) Jésus-Christ. Le Verbe s'est fait chair.\nNote.- En ce sens, le nom s'écrit avec une majuscule."												
verbeux,", euse  adj.\nQui emploie trop de mots, prolixe."												
verbiage,"n. m.\nBavardage inutile. \nNote.- Ne pas confondre avec le mot verbalisation qui désigne l'action de verbaliser."												
verdâtre,"adj.\nQui tire sur le vert. \nNote.- Attention à l'orthographe : verdâtre."												
verdeur,"n. f.\n Acidité d'un fruit qui n'est pas encore mûr.\n Liberté du langage.\n Vigueur. La verdeur de la jeunesse."												
verdict,"n. m.\n Jugement, décision.\nNote.- Attention à l'orthographe : verdict."												
verdir,"v. tr., intr.\n Transitif Donner une teinte verte. Le peintre verdit les portes du garage.\n Intransitif \n- Devenir vert. II verdissait de peur à la vue de cet énorme chien.\n- Se couvrir de feuilles, de verdure. Les arbres se mettent à verdir."												
verdoyant,", ante  adj.\nQui devient vert, en parlant des végétaux. Des arbres verdoyants."												
verdure,"n. f.\n Couleur verte des plantes, des feuilles.\n (Litt.) Ensemble des plantes, des feuilles, au printemps et en été. Un décor de verdure."												
vereux,"{véreux} , euse  adj.\n Qui contient des vers. Des pommes véreuses.\n Douteux, louche. Des affaires véreuses."												
verge,"n. f.\n Petite baguette flexible.\n Membre viril."												
verger,"n. m.\nTerrain planté de pommiers, d'arbres fruitiers."												
vergeture,"n. f. (gén. pl.)\nEnsemble de petites raies rouges causées par la distension de la peau."												
verglaçant,", ante  adj.\nSe dit d'une pluie qui se congéle. On annonce de la pluie verglaçante."												
verglacé,", ée  adj.\nCouvert de verglas. Soyez prudent, la chaussée est verglacée."												
verglacer,"v. impers.\n Le c prend une cédille devant la lettre a. II verglaça.\n Faire du verglas."												
